post_id	coremembers	milescovered
331	a:11:{i:0;s:2:"66";i:1;s:2:"25";i:2;s:1:"2";i:3;s:3:"145";i:4;s:2:"13";i:5;s:1:"8";i:6;s:2:"70";i:7;s:1:"5";i:8;s:2:"10";i:9;s:2:"42";i:10;s:1:"4";}	710
468	a:11:{i:0;s:1:"7";i:1;s:2:"66";i:2;s:1:"2";i:3;s:3:"161";i:4;s:2:"13";i:5;s:1:"9";i:6;s:1:"8";i:7;s:2:"70";i:8;s:1:"5";i:9;s:2:"10";i:10;s:1:"4";}	1115
537	a:15:{i:0;s:1:"7";i:1;s:2:"66";i:2;s:2:"25";i:3;s:1:"2";i:4;s:2:"21";i:5;s:3:"161";i:6;s:2:"32";i:7;s:2:"13";i:8;s:1:"8";i:9;s:2:"35";i:10;s:1:"5";i:11;s:2:"10";i:12;s:2:"16";i:13;s:1:"4";i:14;s:1:"6";}	1150
1403	a:9:{i:0;s:1:"2";i:1;s:3:"161";i:2;s:1:"9";i:3;s:1:"8";i:4;s:2:"36";i:5;s:1:"5";i:6;s:2:"10";i:7;s:1:"4";i:8;s:2:"68";}	330
1646	a:9:{i:0;s:1:"7";i:1;s:1:"2";i:2;s:2:"32";i:3;s:1:"9";i:4;s:1:"8";i:5;s:2:"28";i:6;s:1:"5";i:7;s:1:"4";i:8;s:2:"68";}	130
2098	a:10:{i:0;s:1:"2";i:1;s:3:"161";i:2;s:2:"13";i:3;s:1:"8";i:4;s:2:"36";i:5;s:1:"5";i:6;s:2:"10";i:7;s:2:"59";i:8;s:2:"31";i:9;s:2:"68";}	186
2172	a:14:{i:0;s:1:"7";i:1;s:3:"145";i:2;s:2:"30";i:3;s:2:"32";i:4;s:2:"13";i:5;s:1:"9";i:6;s:2:"28";i:7;s:2:"64";i:8;s:1:"5";i:9;s:2:"42";i:10;s:2:"34";i:11;s:2:"31";i:12;s:1:"6";i:13;s:2:"68";}	320
2194	a:15:{i:0;s:1:"7";i:1;s:2:"65";i:2;s:2:"66";i:3;s:1:"2";i:4;s:3:"161";i:5;s:2:"13";i:6;s:1:"9";i:7;s:1:"8";i:8;s:2:"36";i:9;s:1:"5";i:10;s:2:"10";i:11;s:2:"59";i:12;s:2:"16";i:13;s:2:"31";i:14;s:2:"68";}	200
2276	a:27:{i:0;s:1:"7";i:1;s:2:"65";i:2;s:3:"136";i:3;s:2:"25";i:4;s:1:"2";i:5;s:2:"21";i:6;s:2:"30";i:7;s:2:"32";i:8;s:2:"24";i:9;s:2:"13";i:10;s:1:"9";i:11;s:2:"27";i:12;s:1:"8";i:13;s:2:"33";i:14;s:2:"35";i:15;s:2:"28";i:16;s:3:"152";i:17;s:2:"64";i:18;s:1:"5";i:19;s:2:"10";i:20;s:2:"16";i:21;s:2:"47";i:22;s:2:"58";i:23;s:1:"4";i:24;s:2:"46";i:25;s:1:"6";i:26;s:2:"68";}	190
2946	a:23:{i:0;s:1:"7";i:1;s:2:"65";i:2;s:1:"2";i:3;s:2:"21";i:4;s:3:"161";i:5;s:2:"30";i:6;s:2:"32";i:7;s:2:"24";i:8;s:2:"13";i:9;s:1:"9";i:10;s:2:"27";i:11;s:1:"8";i:12;s:2:"33";i:13;s:2:"35";i:14;s:2:"28";i:15;s:2:"26";i:16;s:2:"64";i:17;s:2:"10";i:18;s:2:"16";i:19;s:1:"4";i:20;s:1:"6";i:21;s:2:"29";i:22;s:2:"68";}	750
